ticker,company_name,listed_from,listed_to,capture_broad,capture_high,activity_rank,activity_median_regular_value_60,universe_source
BBNI,Bank Negara Indonesia (Persero,1996-11-25,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BBRI,Bank Rakyat Indonesia (Persero,2003-11-10,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BBRM,Pelayaran Nasional Bina Buana,2013-01-09,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BBSI,Krom Bank Indonesia Tbk.,2020-09-07,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BBSS,Bumi Benowo Sukses Sejahtera T,2020-04-15,,1,1,53.0,53952700.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BBTN,Bank Tabungan Negara (Persero),2009-12-17,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BBYB,Bank Neo Commerce Tbk.,2015-01-13,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BCAP,MNC Kapital Indonesia Tbk.,2001-06-08,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BCIC,Bank JTrust Indonesia Tbk.,1997-06-25,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BCIP,Bumi Citra Permai Tbk.,2009-12-11,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BDKR,Berdikari Pondasi Perkasa Tbk.,2023-03-03,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BDMN,Bank Danamon Indonesia Tbk.,1989-12-06,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BEBS,Berkah Beton Sadaya Tbk.,2021-03-10,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BEEF,Estika Tata Tiara Tbk.,2019-01-10,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BEER,Jobubu Jarum Minahasa Tbk.,2023-01-06,,1,1,8.0,357153000.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BEKS,Bank Pembangunan Daerah Banten,2001-07-13,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BELI,Global Digital Niaga Tbk.,2022-11-08,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BELL,Trisula Textile Industries Tbk,2017-10-03,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BESS,Batulicin Nusantara Maritim Tb,2020-03-09,,1,1,84.0,17570000.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BEST,Bekasi Fajar Industrial Estate,2012-04-10,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BFIN,BFI Finance  Indonesia Tbk.,1990-05-16,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BGTG,Bank Ganesha Tbk.,2016-05-12,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BHAT,Bhakti Multi Artha Tbk.,2020-04-15,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BHIT,MNC Asia Holding Tbk.,1997-11-24,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BIKA,Binakarya Jaya Abadi Tbk.,2015-07-14,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BIKE,Bhineka Inovasi Ketahanan Ener,2022-03-21,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BIMA,Primarindo Asia Infrastructure,1994-08-30,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BINA,Bank Ina Perdana Tbk.,2014-01-16,,1,1,1.0,741860000.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BINO,Perma Plasindo Tbk.,2021-11-25,,1,1,61.0,38395600.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BIPI,Astrindo Nusantara Infrastrukt,2010-02-11,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BIPP,Bhuwanatala Indah Permai Tbk.,1995-10-23,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BIRD,Blue Bird Tbk.,2014-11-05,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BISI,BISI International Tbk.,2007-05-28,,1,1,12.0,244757000.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BJBR,Bank Pembangunan Daerah Jawa B,2010-07-08,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BJTM,Bank Pembangunan Daerah Jawa T,2012-07-12,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BKDP,Bukit Darmo Property Tbk,2007-06-15,,1,1,2.0,739111400.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BKSL,Sentul City Tbk.,1997-07-28,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BKSW,Bank QNB Indonesia Tbk.,2002-11-21,,1,1,30.0,114010500.0,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BLES,Superior Prima Sukses Tbk.,2024-07-08,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
BLOG,Trimitra Trans Persada Tbk.,2025-07-10,,1,0,,,V4_X1_CLEAN_SECURITY_MASTER_PLUS_PRIMARY_LIQUID_60_SESSION_VALUE
